,biomarker,clustering,SI
0,AB42,2,0.6586
1,AB42,3,0.5665
2,AB42,4,0.5637
3,AB42,5,0.5349
4,AB42,6,0.5483
5,AB42,7,0.566
6,AB42,8,0.5659
7,AB42,9,0.5811
8,AB42,10,0.5829
9,t-tau,2,0.6533
10,t-tau,3,0.6151
11,t-tau,4,0.5736
12,t-tau,5,0.57
13,t-tau,6,0.5772
14,t-tau,7,0.5825
15,t-tau,8,0.5488
16,t-tau,9,0.5637
17,t-tau,10,0.5506
18,p-tau,2,0.6772
19,p-tau,3,0.6307
20,p-tau,4,0.6154
21,p-tau,5,0.5795
22,p-tau,6,0.5804
23,p-tau,7,0.5734
24,p-tau,8,0.582
25,p-tau,9,0.5725
26,p-tau,10,0.5758
27,AB42/AB40 ratio,2,0.7448
28,AB42/AB40 ratio,3,0.637
29,AB42/AB40 ratio,4,0.6055
30,AB42/AB40 ratio,5,0.5756
31,AB42/AB40 ratio,6,0.5523
32,AB42/AB40 ratio,7,0.5806
33,AB42/AB40 ratio,8,0.5888
34,AB42/AB40 ratio,9,0.6021
35,AB42/AB40 ratio,10,0.5784
36,All_AB42,2,0.4844
37,All_AB42,3,0.4425
38,All_AB42,4,0.4296
39,All_AB42,5,0.4207
40,All_AB42,6,0.3934
41,All_AB42,7,0.3689
42,All_AB42,8,0.3611
43,All_AB42,9,0.3728
44,All_AB42,10,0.3533
45,All_Ratio,2,0.5291
46,All_Ratio,3,0.5527
47,All_Ratio,4,0.5279
48,All_Ratio,5,0.496
49,All_Ratio,6,0.4511
50,All_Ratio,7,0.3772
51,All_Ratio,8,0.373
52,All_Ratio,9,0.3706
53,All_Ratio,10,0.3735
